"CODMUNRES","n_nasc_vivos","ANONASC","Cardiopatias","Membros","Neural","Fendas","Microcefalia","nome","latitude","longitude"
"431220",36,2014,0,0,0,0,0,"Maximiliano de Almeida",-27.6325,-51.802
"431225",114,2014,0,1,0,0,0,"Minas do Leão",-30.1346,-52.0423
"431230",56,2014,0,0,0,0,0,"Miraguaí",-27.497,-53.6891
"431235",13,2014,0,0,0,0,0,"Montauri",-28.6462,-52.0767
"431237",34,2014,0,0,0,0,0,"Monte Alegre dos Campos",-28.6805,-50.7834
"431238",17,2014,0,0,0,0,0,"Monte Belo do Sul",-29.1607,-51.6333
"431240",910,2014,0,4,0,0,0,"Montenegro",-29.6824,-51.4679
"431242",35,2014,0,0,0,0,0,"Mormaço",-28.6968,-52.6999
"431244",23,2014,0,0,0,0,0,"Morrinhos do Sul",-29.3578,-49.9328
"431245",52,2014,0,0,0,0,0,"Morro Redondo",-31.5887,-52.6261
"431247",77,2014,0,1,0,0,0,"Morro Reuter",-29.5379,-51.0811
"431250",122,2014,0,0,0,0,0,"Mostardas",-31.1054,-50.9167
"431260",49,2014,0,0,0,0,0,"Muçum",-29.163,-51.8714
"431261",39,2014,0,0,0,0,0,"Muitos Capões",-28.3132,-51.1836
"431262",22,2014,0,0,0,0,0,"Muliterno",-28.3253,-51.7697
"431265",222,2014,0,0,0,0,0,"Não-Me-Toque",-28.4548,-52.8182
"431267",18,2014,0,0,0,0,0,"Nicolau Vergueiro",-28.5298,-52.4676
"431270",174,2014,0,0,0,0,0,"Nonoai",-27.3689,-52.7756
"431275",39,2014,0,0,0,0,0,"Nova Alvorada",-28.6822,-52.1631
"431280",54,2014,0,0,0,0,0,"Nova Araçá",-28.6537,-51.7458
"431290",85,2014,0,1,0,0,0,"Nova Bassano",-28.7291,-51.7072
"431295",21,2014,0,1,0,0,0,"Nova Boa Vista",-27.9926,-52.9784
"431300",36,2014,0,1,0,0,0,"Nova Bréscia",-29.2182,-52.0319
"431301",27,2014,0,0,0,0,0,"Nova Candelária",-27.6137,-54.1074
"431303",53,2014,0,0,0,0,0,"Nova Esperança do Sul",-29.4066,-54.8293
"431306",240,2014,0,0,0,0,0,"Nova Hartz",-29.5808,-50.9051
"431308",15,2014,0,0,0,0,0,"Nova Pádua",-29.0275,-51.3098
"431310",69,2014,0,1,0,0,0,"Nova Palma",-29.471,-53.4689
"431320",245,2014,0,0,0,0,0,"Nova Petrópolis",-29.3741,-51.1136
"431330",323,2014,0,0,0,0,0,"Nova Prata",-28.7799,-51.6113
"431333",18,2014,0,0,0,0,0,"Nova Ramada",-28.0667,-53.6992
"431335",28,2014,0,0,0,0,0,"Nova Roma do Sul",-28.9882,-51.4095
"431337",381,2014,1,0,0,0,0,"Nova Santa Rita",-29.8525,-51.2837
"431339",42,2014,0,0,0,0,0,"Novo Cabrais",-29.7338,-52.9489
"431340",3206,2014,4,8,1,3,0,"Novo Hamburgo",-29.6875,-51.1328
"431342",21,2014,0,0,0,0,0,"Novo Machado",-27.5765,-54.5036
"431344",24,2014,0,0,0,0,0,"Novo Tiradentes",-27.5649,-53.1837
"431346",20,2014,0,0,0,0,0,"Novo Xingu",-27.749,-53.0639
"431349",53,2014,0,0,0,0,0,"Novo Barreiro",-27.9077,-53.1103
"431350",593,2014,1,3,0,0,0,"Osório",-29.8881,-50.2667
"431360",32,2014,0,0,0,0,0,"Paim Filho",-27.7075,-51.763
"431365",135,2014,0,0,0,0,0,"Palmares do Sul",-30.2535,-50.5103
"431370",487,2014,0,3,0,0,0,"Palmeira das Missões",-27.9007,-53.3134
"431380",93,2014,0,0,0,0,0,"Palmitinho",-27.3596,-53.558
"431390",582,2014,1,1,0,1,0,"Panambi",-28.2833,-53.5023
"431395",101,2014,0,0,0,0,0,"Pantano Grande",-30.1902,-52.3729
"431400",67,2014,0,0,0,0,0,"Paraí",-28.5964,-51.7896
"431402",58,2014,0,0,0,0,0,"Paraíso do Sul",-29.6717,-53.144
"431403",48,2014,0,0,0,0,0,"Pareci Novo",-29.6365,-51.3974
"431405",794,2014,0,5,0,0,0,"Parobé",-29.6243,-50.8312
"431406",44,2014,0,0,0,0,0,"Passa Sete",-29.4577,-52.9599
"431407",44,2014,0,0,0,0,0,"Passo do Sobrado",-29.748,-52.2748
"431410",2919,2014,2,8,2,3,1,"Passo Fundo",-28.2576,-52.4091
"431413",14,2014,0,0,0,0,0,"Paulo Bento",-27.7051,-52.4169
"431415",81,2014,0,0,0,0,0,"Paverama",-29.5486,-51.7339
"431417",10,2014,0,0,0,0,0,"Pedras Altas",-31.7365,-53.5814
"431420",95,2014,0,0,1,0,0,"Pedro Osório",-31.8642,-52.8184
"431430",30,2014,0,0,0,0,0,"Pejuçara",-28.4283,-53.6579
"431440",4353,2014,4,4,2,2,0,"Pelotas",-31.7649,-52.3371
"431442",56,2014,0,0,0,0,0,"Picada Café",-29.4464,-51.1367
"431445",28,2014,0,0,0,0,0,"Pinhal",-27.508,-53.2082
"431446",24,2014,0,0,0,0,0,"Pinhal da Serra",-27.8751,-51.1673
"431447",41,2014,0,1,0,0,0,"Pinhal Grande",-29.345,-53.3206
"431449",44,2014,0,0,0,0,0,"Pinheirinho do Vale",-27.2109,-53.608
"431450",109,2014,0,1,0,0,0,"Pinheiro Machado",-31.5794,-53.3798
"431454",23,2014,0,0,0,0,0,"Pinto Bandeira",-29.0975,-51.4503
"431455",22,2014,0,0,0,0,0,"Pirapó",-28.0439,-55.2001
"431460",184,2014,0,1,0,0,0,"Piratini",-31.4473,-53.0973
"431470",130,2014,0,1,0,0,0,"Planalto",-27.3297,-53.0575
"431475",22,2014,0,0,0,0,0,"Poço das Antas",-29.4481,-51.6719
